LONG,LAT
-121.846552,48.281250
-121.948276,48.072917
-121.948276,48.020833
-121.948276,47.968750
-121.846552,47.968750
-121.846552,47.968750
-121.846552,47.916667
-121.846552,47.864583
-121.846552,47.864583
-121.846552,47.812500
-121.744828,47.812500
-121.744828,47.708333
-121.744828,47.708333
-121.744828,47.708333
-121.744828,47.656250
-121.744828,47.604167
-121.744828,47.552083
-121.744828,47.552083
-121.744828,47.500000
-121.744828,47.447917
-121.744828,47.447917
-121.744828,47.395833
-121.744828,47.395833
-121.744828,47.395833
-121.744828,47.343750
-121.643103,47.291667
-121.643103,47.239583
-121.643103,47.187500
-121.643103,47.135417
-121.643103,47.135417
-121.643103,47.083333
-121.643103,47.031250
-121.541379,46.979167
-121.541379,46.927083
-121.541379,46.875000
-121.541379,46.822917
-121.541379,46.822917
-121.541379,46.770833
-121.541379,46.770833
-121.541379,46.718750
-121.541379,46.718750
-121.541379,46.666667
-121.541379,46.666667
-121.643103,46.614583
-121.643103,46.614583
-121.643103,46.562500
-121.643103,46.562500
-121.744828,46.510417
-121.744828,46.458333
-121.744828,46.458333
-121.744828,46.406250
-121.744828,46.354167
-121.846552,46.354167
-121.846552,46.302083
-121.846552,46.302083
-121.846552,46.250000
-121.846552,46.197917
-121.846552,46.197917
-121.846552,46.197917
-121.846552,46.145833
-121.846552,46.145833
-121.846552,46.145833
-121.846552,46.093750
-121.846552,46.093750
-121.846552,46.041667
-121.846552,45.989583
-121.846552,45.937500
-121.846552,45.937500
-121.846552,45.885417
-121.846552,45.885417
-121.948276,45.833333
-121.948276,45.781250
-121.948276,45.781250
-121.948276,45.729167
-121.948276,45.729167
-121.948276,45.677083
-121.948276,45.677083
-121.948276,45.625000
-121.948276,45.625000
-121.948276,45.625000
-121.948276,45.625000
-121.948276,45.572917
-121.948276,45.572917
-121.948276,45.572917
-121.948276,45.520833
-121.948276,45.520833
-122.050000,45.468750
-122.050000,45.468750
-122.050000,45.364583
-122.050000,45.312500
-122.050000,45.312500
-122.050000,45.260417
-122.050000,45.260417
-122.050000,45.208333
-122.050000,45.208333
-122.050000,45.156250
-122.050000,45.156250
-122.050000,45.104167
-122.050000,45.052083
-122.050000,45.052083
-122.050000,45.000000
-122.050000,45.000000
-122.151724,44.895833
-122.151724,44.895833
-122.151724,44.843750
-122.151724,44.843750
-122.151724,44.843750
-122.151724,44.791667
-122.253448,44.791667
-122.253448,44.791667
-122.253448,44.791667
-122.253448,44.791667
-122.355172,44.739583
-122.355172,44.687500
-122.456897,44.635417
-122.456897,44.635417
-122.456897,44.635417
-122.558621,44.583333
-122.660345,44.583333
-122.660345,44.583333
-122.762069,44.583333
-122.762069,44.531250
-122.863793,44.531250
-122.863793,44.531250
-122.965517,44.531250
-122.965517,44.479167
-122.965517,44.479167
-123.067241,44.427083
-123.067241,44.427083
-123.067241,44.427083
-123.067241,44.322917
-123.067241,44.322917
-123.067241,44.270833
-123.067241,44.270833
-123.067241,44.270833
-123.067241,44.218750
-123.067241,44.218750
-123.067241,44.218750
-123.168966,44.166667
-123.168966,44.114583
-123.168966,44.062500
-123.168966,44.010417
-123.168966,43.906250
-123.168966,43.906250
-123.168966,43.802083
-123.168966,43.802083
-123.168966,43.802083
-123.067241,43.697917
-123.067241,43.645833
-123.067241,43.645833
-123.067241,43.645833
-123.067241,43.593750
-123.067241,43.593750
-123.067241,43.541667
-123.067241,43.489583
-123.067241,43.489583
-123.067241,43.489583
-122.965517,43.437500
-122.965517,43.437500
-122.965517,43.437500
-122.965517,43.333333
-122.965517,43.333333
-122.965517,43.333333
-122.863793,43.281250
-122.863793,43.281250
-122.863793,43.229167
-122.863793,43.229167
-122.863793,43.177083
-122.863793,43.177083
-122.863793,43.125000
-122.863793,43.125000
-122.762069,43.072917
-122.762069,43.072917
-122.762069,43.020833
-122.762069,42.968750
-122.762069,42.916667
-122.762069,42.916667
-122.762069,42.916667
-122.762069,42.812500
-122.660345,42.760417
-122.660345,42.708333
-122.660345,42.656250
-122.660345,42.656250
-122.660345,42.656250
-122.558621,42.552083
-122.558621,42.500000
-122.558621,42.500000
-122.558621,42.447917
-122.558621,42.395833
-122.558621,42.395833
-122.558621,42.343750
-122.558621,42.343750
-122.558621,42.343750
-122.558621,42.291667
-122.558621,42.291667
-122.558621,42.291667
-122.558621,42.239583
-122.558621,42.239583
-122.558621,42.187500
-122.558621,42.187500
-122.558621,42.187500
-122.558621,42.135417
-122.558621,42.135417
-122.558621,42.135417
-122.558621,42.083333
-122.558621,42.031250
-122.456897,42.031250
-122.456897,41.927083
-122.456897,41.875000
-122.456897,41.822917
-122.456897,41.822917
-122.456897,41.770833
-122.456897,41.770833
-122.456897,41.718750
-122.456897,41.666667
-122.456897,41.614583
-122.456897,41.562500
-122.456897,41.510417
-122.456897,41.458333
-122.456897,41.406250
-122.456897,41.354167
-122.456897,41.354167
-122.456897,41.302083
-122.355172,41.250000
-122.355172,41.197917
-122.355172,41.145833
-122.355172,41.041667
-122.355172,40.989583
-122.355172,40.937500
-122.355172,40.885417
-122.355172,40.885417
-122.355172,40.781250
-122.355172,40.729167
-122.355172,40.729167
-122.355172,40.677083
-122.355172,40.677083
-122.355172,40.625000
-122.355172,40.572917
-122.355172,40.572917
-122.355172,40.572917
-122.355172,40.520833
-122.355172,40.468750
-122.355172,40.416667
-122.253448,40.364583
-122.253448,40.260417
-122.253448,40.260417
-122.151724,40.260417
-122.151724,40.156250
-122.151724,40.104167
-122.050000,40.104167
-122.050000,40.104167
